binomial,log mass,log watts,altitude,Elevation,Orders,Two orders
Accipiter_striatus,2.239,-0.288,High,3,Falconiformes,nopasserines
Adelomyia_melanogenys,0.5465,-1.1187,Mid,2,Apodiformes,nopasserines
Aglaeactis_castelnaudii,0.8407,-0.9797,High,3,Apodiformes,nopasserines
Aglaeactis_cupripennis,0.856,-0.9382,High,3,Apodiformes,nopasserines
Amblycercus_holosericeus,1.7028,-0.245,High,3,oropendolas,Passeriformes
Ammodramus_aurifrons,1.2152,-0.5816,Low,1,sparrows,Passeriformes
Anabacerthia_striaticollis,1.3836,-0.4596,Mid,2,furnariids,Passeriformes
Anabazenops_dorsalis,1.5927,-0.3496,Low,1,furnariids,Passeriformes
Ancistrops_strigilatus,1.5557,-0.6647,Low,1,furnariids,Passeriformes
Andigena_hypoglauca,2.4516,0.2335,High,3,Piciformes,nopasserines
Anisognathus_igniventris,1.544,-0.3557,High,3,tanagers,Passeriformes
Arremon_aurantiirostris,1.4421,-0.3816,Low,1,sparrows,Passeriformes
Arremon_castaneiceps,1.5529,-0.2771,Mid,2,finches,Passeriformes
Arremon_torquatus,1.6315,-0.3281,High,3,finches,Passeriformes
Atlapetes_rufinucha,1.4065,-0.472,High,3,finches,Passeriformes
Attila_spadiceus,1.5148,-0.8548,Low,1,flycatchers,Passeriformes
Aulacorhynchus_prasinus,2.1367,-0.0085,Low,1,Piciformes,nopasserines
Automolus_melanopezus,1.5002,-0.4181,Low,1,furnariids,Passeriformes
Automolus_ochrolaemus,1.5648,-0.2022,Low,1,furnariids,Passeriformes
Automolus_rufipileatus,1.5589,-0.3376,Low,1,furnariids,Passeriformes
Baryphthengus_martii,2.104,-0.2601,Low,1,Coraciiformes,nopasserines
Basileuterus_bivittatus,1.1911,-0.5216,Mid,2,warblers,Passeriformes
Basileuterus_chrysogaster,1.1596,-0.5512,Mid,2,warblers,Passeriformes
Basileuterus_coronatus,1.2402,-0.48,Mid,2,warblers,Passeriformes
Basileuterus_luteoviridis,1.1677,-0.6223,High,3,warblers,Passeriformes
Basileuterus_signatus,1.1548,-0.6541,High,3,warblers,Passeriformes
Basileuterus_tristriatus,1.0998,-0.5966,Mid,2,warblers,Passeriformes
Bolborhynchus_lineola,1.6669,-0.4198,High,3,Psittasiformes,nopasserines
Bucco_macrodactylus,1.3748,-0.734,Low,1,Piciformes,nopasserines
Buthraupis_montana,1.953,0.0103,High,3,tanagers,Passeriformes
Cacicus_chrysonotus,1.9731,-0.0698,High,3,oropendolas,Passeriformes
Carduelis_magellanica,1.0626,-0.6939,Mid,2,finches,Passeriformes
Catamblyrhynchus_diadema,1.2313,-0.6102,High,3,tanagers,Passeriformes
Catharus_dryas,1.5547,-0.3342,Mid,2,thrushes,Passeriformes
Celeus_spectabilis,2.0531,-0.0096,Low,1,Piciformes,nopasserines
Chaetocercus_mulsant,0.5593,-1.1605,High,3,Apodiformes,nopasserines
Chiroxiphia_boliviana,1.2294,-0.5195,Mid,2,manakins,Passeriformes
Chlorochrysa_calliparaea,1.2289,-0.6096,Mid,2,tanagers,Passeriformes
Chlorornis_riefferii,1.6969,-0.2913,High,3,tanagers,Passeriformes
Chlorospingus_flavigularis,1.4228,-0.485,Mid,2,tanagers,Passeriformes
Chlorospingus_parvirostris,1.3644,-0.4776,Mid,2,tanagers,Passeriformes
